label,Tp,Cl,pH,Redox,Leit,Trueb,Cl_2,Fm,Fm_2
0,6.5,0.17,8.36,749.0,211.0,0.011,0.118,1677.0,695.0
0,6.5,0.17,8.36,749.0,211.0,0.011,0.118,1561.0,696.0
0,6.5,0.17,8.35,749.0,211.0,0.011,0.117,1581.0,696.0
0,6.5,0.17,8.35,749.0,211.0,0.011,0.118,1579.0,693.0
0,6.5,0.17,8.35,749.0,211.0,0.011,0.118,1567.0,689.0
0,6.5,0.17,8.35,749.0,211.0,0.012,0.118,1553.0,689.0
0,6.5,0.17,8.35,749.0,211.0,0.011,0.118,1552.0,695.0
0,6.5,0.17,8.35,749.0,211.0,0.011,0.118,1603.0,694.0
0,6.5,0.17,8.34,749.0,211.0,0.011,0.12,1559.0,700.0
0,6.5,0.17,8.34,749.0,211.0,0.011,0.118,1604.0,690.0
0,6.5,0.17,8.34,749.0,211.0,0.011,0.118,1570.0,696.0
0,6.5,0.17,8.34,749.0,211.0,0.011,0.12,1550.0,699.0
0,6.5,0.17,8.34,749.0,211.0,0.011,0.118,1642.0,694.0
0,6.6,0.17,8.34,749.0,211.0,0.011,0.118,1547.0,695.0
0,6.5,0.17,8.34,749.0,211.0,0.011,0.12,1587.0,696.0
0,6.5,0.17,8.34,749.0,211.0,0.011,0.117,1616.0,696.0
0,6.5,0.17,8.34,749.0,211.0,0.015,0.118,1540.0,699.0
0,6.6,0.17,8.34,749.0,211.0,0.012,0.121,1615.0,694.0
0,6.6,0.17,8.34,749.0,211.0,0.011,0.118,1517.0,700.0
0,6.5,0.17,8.34,749.0,211.0,0.012,0.12,1609.0,695.0
0,6.6,0.18,8.35,749.0,211.0,0.011,0.118,1546.0,693.0
0,6.5,0.18,8.35,749.0,211.0,0.011,0.12,1572.0,696.0
0,6.6,0.18,8.34,749.0,211.0,0.011,0.118,1597.0,687.0
0,6.5,0.18,8.34,749.0,211.0,0.011,0.118,1553.0,699.0
0,6.5,0.18,8.35,749.0,211.0,0.011,0.118,1598.0,689.0
0,6.5,0.18,8.35,749.0,211.0,0.011,0.118,1614.0,694.0
0,6.5,0.18,8.35,749.0,211.0,0.011,0.117,1603.0,694.0
0,6.6,0.18,8.36,749.0,211.0,0.011,0.118,1575.0,696.0
0,6.6,0.18,8.36,749.0,211.0,0.013,0.118,1582.0,701.0
0,6.5,0.18,8.36,749.0,211.0,0.011,0.117,1553.0,704.0
0,6.6,0.18,8.36,749.0,211.0,0.011,0.117,1555.0,700.0
0,6.6,0.18,8.37,749.0,211.0,0.011,0.118,1545.0,695.0
0,6.6,0.17,8.37,749.0,211.0,0.011,0.118,1599.0,696.0
0,6.5,0.17,8.37,749.0,211.0,0.01,0.118,1581.0,694.0
0,6.5,0.18,8.38,749.0,211.0,0.011,0.116,1581.0,700.0
0,6.5,0.17,8.38,749.0,211.0,0.01,0.117,1579.0,696.0
0,6.5,0.18,8.37,749.0,211.0,0.01,0.114,1572.0,689.0
0,6.5,0.17,8.38,749.0,211.0,0.01,0.116,1552.0,693.0
0,6.5,0.17,8.38,748.0,211.0,0.01,0.117,1593.0,689.0
0,6.6,0.17,8.38,749.0,211.0,0.01,0.117,1626.0,688.0
0,6.5,0.17,8.39,748.0,211.0,0.01,0.116,1609.0,694.0
0,6.5,0.17,8.39,749.0,211.0,0.01,0.118,1575.0,688.0
0,6.6,0.17,8.39,749.0,211.0,0.01,0.117,1555.0,694.0
0,6.5,0.17,8.39,748.0,211.0,0.01,0.118,1550.0,699.0
0,6.5,0.17,8.39,749.0,211.0,0.01,0.114,1590.0,690.0
0,6.5,0.17,8.39,748.0,211.0,0.01,0.116,1590.0,695.0
0,6.5,0.17,8.39,748.0,211.0,0.01,0.117,1575.0,695.0
0,6.5,0.17,8.39,749.0,207.0,0.01,0.116,1609.0,688.0
0,6.6,0.17,8.39,749.0,207.0,0.011,0.116,1601.0,696.0
0,6.5,0.17,8.39,747.0,207.0,0.011,0.117,1653.0,699.0
0,6.5,0.17,8.39,749.0,207.0,0.01,0.117,1663.0,694.0
0,6.5,0.17,8.39,749.0,207.0,0.01,0.114,1659.0,693.0
0,6.5,0.17,8.39,749.0,207.0,0.01,0.117,1651.0,695.0
0,6.5,0.17,8.39,748.0,207.0,0.01,0.117,1638.0,699.0
0,6.5,0.17,8.38,748.0,207.0,0.01,0.118,1642.0,695.0
0,6.5,0.17,8.38,749.0,207.0,0.01,0.117,1604.0,696.0
0,6.6,0.17,8.38,748.0,205.0,0.01,0.118,1645.0,699.0
0,6.6,0.17,8.38,748.0,205.0,0.01,0.118,1626.0,696.0
0,6.5,0.17,8.37,749.0,207.0,0.011,0.117,1645.0,693.0
0,6.6,0.17,8.38,749.0,206.0,0.011,0.118,1715.0,694.0
0,6.6,0.17,8.37,749.0,205.0,0.011,0.118,1694.0,695.0
0,6.5,0.17,8.36,749.0,205.0,0.011,0.118,1732.0,696.0
0,6.5,0.17,8.36,749.0,207.0,0.011,0.118,1686.0,695.0
0,6.5,0.17,8.36,750.0,207.0,0.01,0.118,1649.0,694.0
0,6.5,0.17,8.36,749.0,207.0,0.011,0.118,1668.0,701.0
0,6.6,0.17,8.36,749.0,207.0,0.01,0.118,1656.0,690.0
0,6.6,0.17,8.36,749.0,207.0,0.011,0.117,1678.0,701.0
0,6.5,0.17,8.36,749.0,207.0,0.01,0.118,1663.0,694.0
0,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1671.0,693.0
0,6.5,0.17,8.35,749.0,207.0,0.011,0.118,1637.0,695.0
0,6.5,0.17,8.36,749.0,207.0,0.01,0.117,1616.0,688.0
0,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1609.0,689.0
0,6.6,0.17,8.35,749.0,207.0,0.01,0.118,1679.0,694.0
0,6.6,0.17,8.35,749.0,207.0,0.01,0.118,1650.0,689.0
0,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1677.0,689.0
0,6.6,0.17,8.35,750.0,207.0,0.01,0.118,1677.0,688.0
0,6.5,0.17,8.35,749.0,207.0,0.011,0.117,1688.0,690.0
0,6.6,0.16,8.35,750.0,207.0,0.011,0.116,1689.0,684.0
0,6.5,0.16,8.35,749.0,207.0,0.011,0.118,1660.0,696.0
